season,division,matchday,date,home_team,away_team,score,year,month,weekday,home_goals,away_goals,result,target,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against,avg_goals_for_combined,avg_goals_against_combined,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against
1990-1991,1,24,1991-03-02,Barcelona,CD Tenerife,1:0,1991,3,5,1.0,0.0,1,0,2.4,1.0,1.0,2.8,1.7,1.9,0.8,0.8,1.0,0.8
1990-1991,1,24,1991-03-02,Sevilla FC,Real Betis,3:2,1991,3,5,3.0,2.0,1,0,1.2,0.8,0.8,2.0,1.0,1.4,2.4,1.0,1.0,2.8
1990-1991,1,24,1991-03-02,Cádiz CF,Real Madrid,1:0,1991,3,5,1.0,0.0,1,0,0.8,0.8,1.0,0.8,0.9,0.8,1.2,0.8,0.8,2.0
1990-1991,1,24,1991-03-03,Sporting Gijón,CA Osasuna,1:1,1991,3,6,1.0,1.0,X,1,1.8,0.8,1.25,1.5,1.525,1.15,1.8,0.8,1.25,1.5
1990-1991,1,24,1991-03-03,Atlético Madrid,Athletic,2:0,1991,3,6,2.0,0.0,1,0,2.0,0.6,0.4,1.8,1.2,1.2,2.0,0.6,0.4,1.8
1990-1991,1,24,1991-03-03,CD Castellón,Real Valladolid,4:2,1991,3,6,4.0,2.0,1,0,1.2,0.8,0.4,1.2,0.8,1.0,1.2,0.8,0.4,1.2
1990-1991,1,24,1991-03-03,CD Logroñés,Burgos CF,0:0,1991,3,6,0.0,0.0,X,1,1.0,0.75,0.8,1.2,0.9,0.975,1.0,0.75,0.8,1.2
1990-1991,1,24,1991-03-03,RCD Mallorca,Valencia,0:1,1991,3,6,0.0,1.0,2,2,1.2,0.8,1.2,0.8,1.2,0.8,1.2,0.8,1.2,0.8
1990-1991,1,24,1991-03-03,Real Sociedad,Real Oviedo,3:1,1991,3,6,3.0,1.0,1,0,1.2,0.6,0.8,0.6,1.0,0.6,1.2,0.6,0.8,0.6
1990-1991,1,24,1991-03-03,Real Zaragoza,Espanyol,1:1,1991,3,6,1.0,1.0,X,1,0.6,1.0,0.8,1.0,0.7,1.0,0.6,1.0,0.8,1.0
1990-1991,1,25,1991-03-09,CA Osasuna,Atlético Madrid,0:3,1991,3,5,0.0,3.0,2,2,1.6,0.4,1.0,0.2,1.3,0.30000000000000004,1.6,0.4,1.0,0.2
1990-1991,1,25,1991-03-10,Valencia,Real Zaragoza,2:0,1991,3,6,2.0,0.0,1,0,2.0,1.3333333333333333,0.75,2.25,1.375,1.7916666666666665,1.0,0.3333333333333333,0.75,1.25
1990-1991,1,25,1991-03-10,CD Tenerife,CD Castellón,1:0,1991,3,6,1.0,0.0,1,0,1.25,1.0,0.0,0.6666666666666666,0.625,0.8333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333
1990-1991,1,25,1991-03-10,Athletic,Barcelona,0:6,1991,3,6,0.0,6.0,2,2,1.0,1.3333333333333333,1.25,0.5,1.125,0.9166666666666666,1.0,0.3333333333333333,0.5,1.5
1990-1991,1,25,1991-03-10,Burgos CF,Sporting Gijón,1:1,1991,3,6,1.0,1.0,X,1,0.75,0.5,0.5,1.0,0.625,0.75,0.3333333333333333,0.6666666666666666,0.0,2.3333333333333335
1990-1991,1,25,1991-03-10,Real Valladolid,Sevilla FC,2:1,1991,3,6,2.0,1.0,1,0,0.3333333333333333,0.6666666666666666,0.0,2.3333333333333335,0.16666666666666666,1.5,2.6,0.8,1.0,1.6666666666666667
1990-1991,1,25,1991-03-10,Real Oviedo,CD Logroñés,0:0,1991,3,6,0.0,0.0,X,1,1.0,0.3333333333333333,0.75,1.25,0.875,0.7916666666666666,1.0,1.3333333333333333,1.25,0.5
1990-1991,1,25,1991-03-10,Espanyol,Cádiz CF,2:1,1991,3,6,2.0,1.0,1,0,1.0,0.3333333333333333,0.5,1.5,0.75,0.9166666666666666,2.0,1.3333333333333333,0.75,2.25
1990-1991,1,25,1991-03-10,Real Betis,RCD Mallorca,2:2,1991,3,6,2.0,2.0,X,1,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,0.75,0.5,0.5,1.0
1990-1991,1,25,1991-03-10,Real Madrid,Real Sociedad,2:3,1991,3,6,2.0,3.0,2,2,2.6,0.8,1.0,1.6666666666666667,1.8,1.2333333333333334,1.25,1.0,0.0,0.6666666666666666
1990-1991,1,29,1991-04-06,Sporting Gijón,Sevilla FC,2:0,1991,4,5,2.0,0.0,1,0,1.2,1.0,0.25,2.25,0.725,1.625,1.2,1.0,0.25,2.25
1990-1991,1,29,1991-04-06,Burgos CF,Barcelona,1:3,1991,4,5,1.0,3.0,2,2,0.8,0.6,2.2,0.4,1.5,0.5,0.8,0.6,2.2,0.4
1990-1991,1,29,1991-04-07,Espanyol,Real Madrid,3:1,1991,4,6,3.0,1.0,1,0,1.25,0.5,1.0,0.6,1.125,0.55,1.25,0.5,1.0,0.6
